country,essround,edition,idno,dweight,pspwght,pweight,anweight,prob,stratum,psu,netuse,netusoft,netustm,nwspol,nwsppol,nwsptot,pplfair,pplhlp,ppltrst,rdpol,rdtot,tvpol,tvtot,cptppol,cptppola,dmcntov,etapapl,lrscale,polcmpl,polintr,psppipl,psppipla,psppsgv,psppsgva,ptcpplt,stfdem,stfeco,stfgov,trstep,trstlgl,trstplc,trstplt,trstprl,trstprt,trstun,vote,loylead,year,netustm_cleaned,nwspol_cleaned,netuse_continuous,netusoft_continuous,nwsppol_continuous,nwsptot_continuous,rdpol_continuous,rdtot_continuous,tvpol_continuous,tvtot_continuous,cptppola_continuous,psppipla_continuous,psppsgva_continuous,stfdem_cleaned,stfeco_cleaned,stfgov_cleaned,trstep_cleaned,trstlgl_cleaned,trstplc_cleaned,trstplt_cleaned,trstprl_cleaned,trstprt_cleaned,trstun_cleaned
Albania,6.0,2.6,628.7133333333334,1.00051120989,1.0006027282974999,0.18600808,0.18612019358791665,,,,,,,,,,5.734166666666667,3.8808333333333334,3.3,,,3.9483333333333333,4.581666666666667,,,6.8566666666666665,,13.946666666666667,,2.785,,,,,,5.804166666666666,4.006666666666667,4.751666666666667,10.125833333333333,4.778333333333333,5.258333333333334,3.0508333333333333,5.1883333333333335,3.815,11.736666666666666,1.415,,2012.0,,,,,,,,,0.9141695205479452,2.079232693911593,,,,3.840443686006826,3.1582491582491583,3.340677966101695,6.881076388888889,3.510998307952623,4.912133891213389,1.9755274261603375,2.9195205479452055,2.3155216284987277,7.298059964726631
Austria,1.0,6.7,1974.6601161232693,1.0021880303707011,1.001944838914694,0.2714875,0.2720155036672622,,,,3.751228226887003,,,,10.909781152300134,2.111210361768647,6.651183564091112,5.625725770433229,5.555605180884323,10.31263957123716,4.097364895042429,6.295221080839661,4.115230013398839,,,,,15.730236712818222,3.1116569897275568,2.3894595801697185,,,,,,9.422956677087985,8.17820455560518,6.965609647163912,10.877177311299688,7.03974988834301,6.766860205448861,4.605180884323358,7.168825368468066,,11.581062974542206,1.2987941045109423,,2002.0,,,2.2485366951823504,,0.4214659685863874,0.6251123090745733,0.5942327497425335,1.6496178057553956,0.663111217641419,1.6462264150943395,,,,5.639044943820225,5.2204724409448815,3.8069605568445475,4.2163998059194565,6.0885675553547225,6.475571492604213,3.5108597285067873,5.0572868927589365,,4.5763042418332525
Austria,2.0,3.6,2195.380610412926,0.9988707809694795,1.0000624156597846,0.3020064,,,,,4.098294434470377,,,,11.478007181328545,2.0740574506283664,6.910682226211849,5.904398563734291,5.867145421903052,10.985637342908438,4.290394973070018,4.82181328545781,4.482046678635547,,,,,15.759874326750449,3.0439856373429084,2.466786355475763,,,,,,9.52019748653501,7.841113105924596,8.046229802513466,8.466337522441652,7.516157989228007,6.543536804308797,4.271095152603231,6.590215439856373,4.88689407540395,10.225314183123878,1.6036804308797128,,2004.0,,,2.8426384511481313,,0.3960435475305364,0.6142309427153811,0.5482731554160125,1.5931128228364295,0.6025188323917138,1.7170963364993215,,,,6.024847632442569,5.202596198423737,4.2102539981185325,3.9786628733997156,5.8244729605866175,6.181244364292155,3.292461398728429,4.759522716842588,3.411146642302421,4.450337512054002
Austria,3.0,3.7,2739.529560810811,1.0021581081081081,1.0026363577111488,0.28911608,,,,,4.532516891891892,,,,8.97972972972973,2.1786317567567566,7.313766891891892,6.131756756756757,5.630912162162162,10.458614864864865,4.638091216216216,5.775760135135135,4.45777027027027,,,,,18.46748310810811,3.015625,2.4907094594594597,,,,,,9.970016891891891,9.516047297297296,8.574324324324325,9.006756756756756,7.688344594594595,6.852195945945946,4.669341216216216,7.7516891891891895,4.766891891891892,11.010557432432432,1.366554054054054,,2006.0,,,3.3546610169491524,,0.43350810295519543,0.6627758913412564,0.6314769975786925,1.6892094017094017,0.595998201438849,1.708492975734355,,,,6.031069684864625,6.166519823788546,4.154772524531668,3.9546067415730337,5.993960310612597,6.332908163265306,3.3225945017182132,4.8875765529308834,3.3523850451224755,4.673982624599908
Austria,10.0,3.1,33827.13219829745,0.9993776260440661,0.9985297478017026,0.3817861,0.3812247965292939,0.0008395511235302955,59.960941412118174,1002.2473710565848,,4.42163244867301,1381.0475713570356,137.49073610415624,,,6.1617426139208815,5.7305958938407615,4.909364046069103,,,,,,2.868803204807211,,,9.077115673510265,,2.172258387581372,,2.3209814722083126,,2.3064596895343015,,5.913870806209314,6.582874311467201,4.440660991487231,5.019028542814222,6.658487731597396,6.920380570856285,3.4126189283925887,5.329994992488733,3.600901352028042,6.1877816725087635,1.2473710565848772,3.301952929394091,2008.0,258.56582125603865,67.86838124054464,,5.849094567404427,,,,,,,4.461928934010152,3.2015113350125946,3.207286432160804,5.445395067941621,6.024181360201512,3.773071104387292,3.9240121580547114,6.2870789341377575,6.735574510787757,3.0281548516842633,4.858580775037745,2.9273827534039336,4.387442572741194
Austria,7.0,2.3,1771.912388392857,1.000046505825893,1.0000225433872767,0.40601933,0.40602848291852683,,,,,,,,,,6.208147321428571,5.267857142857143,5.114397321428571,,,4.477120535714286,4.274553571428571,5.915178571428571,,,5.880580357142857,11.515066964285714,,2.513392857142857,4.030691964285714,,4.236049107142857,,3.7198660714285716,6.526227678571429,6.30859375,6.0234375,8.113839285714286,6.924665178571429,7.047433035714286,4.387834821428571,6.099330357142857,4.638950892857143,12.396763392857142,1.3722098214285714,,2014.0,,,,,,,,,0.6266763848396502,1.9258793969849246,,,,5.232993197278912,4.870528109028961,3.8154727793696277,3.4923258559622194,5.637755102040816,6.547445255474453,3.444130925507901,4.610227272727273,3.411664779161948,4.369753086419753
Austria,8.0,2.3,1957.5405674464907,0.999969742568442,1.000156274265804,0.3703929,0.3704507709611747,,,,,3.7177700348432055,2604.248880039821,232.00298656047784,,,6.1229467396714785,5.545545047287208,5.450472872075659,,,,,,2.596316575410652,,,12.047784967645596,,2.4141363862618217,,2.26231956197113,,2.2742658038825287,,6.845196615231458,6.5619711299153805,5.886510701841712,6.718765555002489,6.789945246391239,7.23145843703335,4.484320557491289,6.023394723743156,4.546042807366849,9.724738675958188,1.3325037332005973,,2016.0,138.95256916996047,48.74797160243408,,4.625996015936255,,,,,,,3.476966873706004,3.063627254509018,3.08049147442327,5.684343434343434,5.6299093655589125,4.4272681196148,3.775025799793602,6.277555110220441,7.0409181636726546,3.878134403209629,4.954109934442764,3.808136614766449,4.421584263689527
Austria,9.0,3.2,34907.2514011209,0.9999683156004804,0.9997009526885507,0.30209145,0.30200110929983986,0.000843682818618895,51.22417934347478,966.8919135308247,,3.9047237790232185,2152.0572457966373,97.59407526020817,,,6.520816653322658,5.856285028022418,5.609287429943955,,,,,,2.596477181745396,,,12.00960768614892,,2.4535628502802243,,2.366693354683747,,2.3931144915932747,,7.773018414731785,8.737790232185748,7.719375500400321,7.915132105684548,7.410728582866293,7.49519615692554,5.584867894315452,7.059647718174539,5.760208166533227,10.455964771817454,1.289031224979984,,2018.0,147.58261370178468,45.795975855130784,,4.990792634107286,,,,,,,3.7657841140529533,3.3202337767029424,3.330635370295427,6.408146639511202,6.862704918032787,5.382110469909316,4.42415378186377,6.670707070707071,7.398396793587175,4.240944240944241,5.419934640522876,4.134395424836601,4.862172606268785
Austria,11.0,2.0,68477.00977891157,0.9997406879634353,0.9989116224102892,0.33091453,0.3305543688664966,0.0008847802217006803,58.81675170068027,288.0216836734694,,4.142857142857143,1676.889880952381,55.59481292517007,,,6.557823129251701,6.186224489795919,5.879251700680272,,,,,,2.8261054421768708,,,12.261479591836734,,2.420918367346939,,2.3541666666666665,,2.355017006802721,,6.985969387755102,6.392431972789115,5.53656462585034,6.775510204081633,7.130952380952381,7.416666666666667,4.337159863945578,5.927721088435374,4.390731292517007,9.236819727891156,1.3477891156462585,3.4727891156462585,2023.0,169.07581627006087,48.07787234042553,,5.423044217687075,,,,,,,4.32271348071088,3.3251494449188725,3.3041060735671515,5.745682210708117,5.4092082616179,4.0168977469670715,4.276194651468654,6.686190679777683,7.348085106382979,3.7735445205479454,5.086340206185567,3.723960565795114,4.8307139649753035
Belgium,1.0,6.7,1000.9237691900477,1.0,0.9977407012599259,0.44783992,0.4468281142985707,,,,2.8364213869772366,,,,27.688194812069877,1.3737427210164108,6.270513499205929,5.113816834303864,5.130757014293277,12.703546850185283,3.51508734780307,3.94494441503441,4.2461619904711485,,,,,16.376919004764424,3.2016940179989413,2.6887241926945475,,,,,,9.338274219163578,8.960825833774484,9.151402858655374,12.500794070937003,5.7654843832715725,6.145050291159343,5.44785600847009,10.008999470619376,,13.102699841185812,1.3303335097935416,,2002.0,,,1.9054054054054055,,0.3572380106571936,0.4190552016985138,0.6019757807520714,1.5998411016949152,0.7509552401746725,1.883280339162692,,,,5.516093229744728,5.331488655229663,5.17620900500278,4.876456876456876,4.38751345532831,5.642172523961661,4.2780461621041335,4.993802816901408,,5.097832454598711
